parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
alpha,0.05,12.10.1,6,10.0,1,3.129042092772218,2.6100014095689024,16.587845986548054,3,3.1740779876708984
alpha,0.05,12.10.2,6,10.0,2,3.1569884464296423,2.366303878355881,25.045532522235746,5,986.2363200187683
alpha,0.05,12.10.3,6,10.0,3,3.3806734923933623,2.2078575695777904,34.69178332230102,4,2.327113389968872
alpha,0.05,12.20.1,6,20.0,1,6.258084185544436,5.228758156105999,16.4479415571954,3,2.3554348945617676
alpha,0.05,12.20.2,6,20.0,2,6.3139768928592845,4.732607756711762,25.045532522235746,5,2.7492330074310303
alpha,0.05,12.20.3,6,20.0,3,6.761346984786725,4.640406382116327,31.3686105363708,4,1.8789148330688477
alpha,0.05,16.10.1,8,10.0,1,3.743495371296359,3.1864045081814414,14.881569438724828,6,1197.7929368019104
alpha,0.05,16.10.2,8,10.0,2,3.9258531455995223,3.572506603246078,9.000503310968455,5,1157.9787209033966
alpha,0.05,16.10.3,8,10.0,3,4.316121616491997,2.7928172851041984,35.29335979707381,6,50.44624614715576
alpha,0.05,16.20.1,8,20.0,1,7.486990742592718,7.419389247801525,0.9029194387354389,3,793.2106399536133
alpha,0.05,16.20.2,8,20.0,2,7.8517062911990445,7.2451901257895726,7.724641535424148,2,1085.5622220039368
alpha,0.05,16.20.3,8,20.0,3,8.632243232983994,5.774268902742614,33.10813021719541,5,88.27274489402771
alpha,0.1,12.10.1,6,10.0,1,3.129042092772218,3.7414230574022005,-19.570876532614335,2,904.4283390045166
alpha,0.1,12.10.2,6,10.0,2,3.1569884464296423,2.479475312948669,21.460741620616275,4,3.7517449855804443
alpha,0.1,12.10.3,6,10.0,3,3.3806734923933623,2.3600156971125887,30.19096039819552,4,2.7134931087493896
alpha,0.1,12.20.1,6,20.0,1,6.258084185544436,5.460850789199365,12.73925649940284,2,2.2514307498931885
alpha,0.1,12.20.2,6,20.0,2,6.3139768928592845,4.958950625897338,21.460741620616275,4,3.0626440048217773
alpha,0.1,12.20.3,6,20.0,3,6.761346984786725,4.937927017140479,26.968294509200696,4,1.5343968868255615
alpha,0.1,16.10.1,8,10.0,1,3.743495371296359,3.0959661070195517,17.297450645773605,4,410.76185512542725
alpha,0.1,16.10.2,8,10.0,2,3.9258531455995223,3.500929451501852,10.82372871165509,4,1070.9072918891907
alpha,0.1,16.10.3,8,10.0,3,4.316121616491997,3.7373677052118937,13.409119638072099,4,993.9822521209717
alpha,0.1,16.20.1,8,20.0,1,7.486990742592718,6.543843813057505,12.59714299057093,4,983.9481809139252
alpha,0.1,16.20.2,8,20.0,2,7.8517062911990445,6.791627717082179,13.50125099948154,3,1070.9472818374634
alpha,0.1,16.20.3,8,20.0,3,8.632243232983994,6.094306478132045,29.40066314575609,4,59.65238976478577
alpha,0.25,12.10.1,6,10.0,1,3.129042092772218,2.8618114720232057,8.540333201853977,2,3.5118370056152344
alpha,0.25,12.10.2,6,10.0,2,3.1569884464296423,2.815455147481462,10.818325905957405,4,4.515947103500366
alpha,0.25,12.10.3,6,10.0,3,3.3806734923933623,2.7566612380169015,18.458223066513547,3,4.442904233932495
alpha,0.25,12.20.1,6,20.0,1,6.258084185544436,5.7236229440464115,8.540333201853977,2,2.7342913150787354
alpha,0.25,12.20.2,6,20.0,2,6.3139768928592845,6.036896064537945,4.388372542742447,3,547.0506868362427
alpha,0.25,12.20.3,6,20.0,3,6.761346984786725,5.626931942701554,16.777944463398274,2,1.2664198875427246
alpha,0.25,16.10.1,8,10.0,1,3.743495371296359,4.117322822191388,-9.986053509278792,3,1036.6348948478699
alpha,0.25,16.10.2,8,10.0,2,3.9258531455995223,3.754994150580357,4.352149422875906,4,1039.977998971939
alpha,0.25,16.10.3,8,10.0,3,4.316121616491997,3.4928014981875797,19.075461524496728,3,80.76697301864624
alpha,0.25,16.20.1,8,20.0,1,7.486990742592718,7.80003396712909,-4.181162169140951,1,990.1789922714233
alpha,0.25,16.20.2,8,20.0,2,7.8517062911990445,7.343531640021201,6.472155635106414,2,511.19574785232544
alpha,0.25,16.20.3,8,20.0,3,8.632243232983994,8.17420119629386,5.306176208519542,3,950.681440114975
alpha,0.5,12.10.1,6,10.0,1,3.129042092772218,3.080788267729078,1.5421277059391891,2,4.322937250137329
alpha,0.5,12.10.2,6,10.0,2,3.1569884464296423,3.1535017633440696,0.11044332739056362,1,6.5334436893463135
alpha,0.5,12.10.3,6,10.0,3,3.3806734923933623,3.2556316809353794,3.6987248765469882,2,2.9237520694732666
alpha,0.5,12.20.1,6,20.0,1,6.258084185544436,6.161576535458156,1.5421277059391891,2,2.279114007949829
alpha,0.5,12.20.2,6,20.0,2,6.3139768928592845,6.307003526688139,0.11044332739056362,1,3.9577138423919678
alpha,0.5,12.20.3,6,20.0,3,6.761346984786725,6.511263361870759,3.6987248765469882,2,2.2937889099121094
alpha,0.5,16.10.1,8,10.0,1,3.743495371296359,4.331420281912181,-15.705239416717266,0,1005.9354739189148
alpha,0.5,16.10.2,8,10.0,2,3.9258531455995223,3.8918602090762517,0.8658738690053402,1,1097.880760192871
alpha,0.5,16.10.3,8,10.0,3,4.316121616491997,3.9099765679693546,9.409953764295075,2,60.474855184555054
alpha,0.5,16.20.1,8,20.0,1,7.486990742592718,inf,nan,0,994.4173219203949
alpha,0.5,16.20.2,8,20.0,2,7.8517062911990445,7.7837204181525035,0.8658738690053402,1,1081.9067268371582
alpha,0.5,16.20.3,8,20.0,3,8.632243232983994,7.819953135938709,9.409953764295075,2,9.82511281967163
alpha,1.0,12.10.1,6,10.0,1,3.129042092772218,3.129042092772218,0.0,0,2.6223292350769043
alpha,1.0,12.10.2,6,10.0,2,3.1569884464296423,3.1569884464296423,0.0,0,3.3297390937805176
