parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
drone_speed_mph,25,12.10.1,6,10.0,1,3.129042092772218,2.7304253945996826,12.73925649940284,2,2.8957321643829346
drone_speed_mph,25,12.10.2,6,10.0,2,3.1569884464296423,2.479475312948669,21.460741620616275,4,3.6533620357513428
drone_speed_mph,25,12.10.3,6,10.0,3,3.3806734923933623,2.4689635085702397,26.968294509200696,4,1.5551321506500244
drone_speed_mph,25,12.20.1,6,20.0,1,6.258084185544436,5.460850789199365,12.73925649940284,2,0.5345730781555176
drone_speed_mph,25,12.20.2,6,20.0,2,6.3139768928592845,5.682778870739055,9.996837695653838,4,1.1851780414581299
drone_speed_mph,25,12.20.3,6,20.0,3,6.761346984786725,6.720713752180081,0.6009635757204923,1,0.3876771926879883
drone_speed_mph,25,16.10.1,8,10.0,1,3.743495371296359,3.532027742439409,5.6489352298496165,4,959.497955083847
drone_speed_mph,25,16.10.2,8,10.0,2,3.9258531455995223,3.4982438274893344,10.89213738393383,3,1139.4600279331207
drone_speed_mph,25,16.10.3,8,10.0,3,4.316121616491997,3.0471532390660223,29.40066314575609,4,47.73222613334656
drone_speed_mph,25,16.20.1,8,20.0,1,7.486990742592718,7.417575028694925,0.9271510582067877,3,1303.940550327301
drone_speed_mph,25,16.20.2,8,20.0,2,7.8517062911990445,7.171109906219558,8.668133520765608,4,22.574697971343994
drone_speed_mph,25,16.20.3,8,20.0,3,8.632243232983994,8.33259892503944,3.471221788556733,3,991.8169021606445
drone_speed_mph,35,12.10.1,6,10.0,1,3.129042092772218,2.7233379517094956,12.965761694285272,3,4.049292087554932
drone_speed_mph,35,12.10.2,6,10.0,2,3.1569884464296423,2.479475312948669,21.460741620616275,4,4.407377004623413
drone_speed_mph,35,12.10.3,6,10.0,3,3.3806734923933623,2.3600156971125887,30.19096039819552,4,4.309261083602905
drone_speed_mph,35,12.20.1,6,20.0,1,6.258084185544436,5.460850789199365,12.73925649940284,2,1.3788578510284424
drone_speed_mph,35,12.20.2,6,20.0,2,6.3139768928592845,5.682778870739055,9.996837695653838,4,2.000760078430176
drone_speed_mph,35,12.20.3,6,20.0,3,6.761346984786725,6.720713752180081,0.6009635757204923,1,0.47849535942077637
drone_speed_mph,35,16.10.1,8,10.0,1,3.743495371296359,3.486353274331434,6.869037395814315,5,997.3258030414581
drone_speed_mph,35,16.10.2,8,10.0,2,3.9258531455995223,3.3580310911646665,14.463660085485518,4,75.36855101585388
drone_speed_mph,35,16.10.3,8,10.0,3,4.316121616491997,3.4174192275168283,20.821989481047222,4,752.4986078739166
drone_speed_mph,35,16.20.1,8,20.0,1,7.486990742592718,6.679306796826662,10.78783150046153,6,965.9958698749542
drone_speed_mph,35,16.20.2,8,20.0,2,7.8517062911990445,6.944314517655414,11.55661890410653,4,37.3252899646759
drone_speed_mph,35,16.20.3,8,20.0,3,8.632243232983994,7.717510373150208,10.596699318417846,4,1013.6040053367615
drone_speed_mph,50,12.10.1,6,10.0,1,3.129042092772218,2.7233379517094956,12.965761694285272,3,4.799343109130859
drone_speed_mph,50,12.10.2,6,10.0,2,3.1569884464296423,2.479475312948669,21.460741620616275,4,3.6081151962280273
drone_speed_mph,50,12.10.3,6,10.0,3,3.3806734923933623,2.3600156971125887,30.19096039819552,4,2.8193302154541016
drone_speed_mph,50,12.20.1,6,20.0,1,6.258084185544436,5.460850789199365,12.73925649940284,2,2.44986891746521
drone_speed_mph,50,12.20.2,6,20.0,2,6.3139768928592845,4.958950625897338,21.460741620616275,4,3.1315741539001465
drone_speed_mph,50,12.20.3,6,20.0,3,6.761346984786725,4.937927017140479,26.968294509200696,4,1.4916329383850098
drone_speed_mph,50,16.10.1,8,10.0,1,3.743495371296359,3.0959661070195517,17.297450645773605,4,976.7064478397369
drone_speed_mph,50,16.10.2,8,10.0,2,3.9258531455995223,3.500929451501852,10.82372871165509,4,1050.0635137557983
drone_speed_mph,50,16.10.3,8,10.0,3,4.316121616491997,3.7373677052118937,13.409119638072099,4,1001.8534579277039
drone_speed_mph,50,16.20.1,8,20.0,1,7.486990742592718,6.543843813057505,12.59714299057093,4,988.9699189662933
drone_speed_mph,50,16.20.2,8,20.0,2,7.8517062911990445,7.016432502800152,10.638118103515271,3,1098.9126892089844
drone_speed_mph,50,16.20.3,8,20.0,3,8.632243232983994,6.094306478132045,29.40066314575609,4,63.01142406463623
drone_speed_mph,75,12.10.1,6,10.0,1,3.129042092772218,2.7233379517094956,12.965761694285272,3,4.180227041244507
drone_speed_mph,75,12.10.2,6,10.0,2,3.1569884464296423,2.479475312948669,21.460741620616275,4,4.53426194190979
drone_speed_mph,75,12.10.3,6,10.0,3,3.3806734923933623,2.3600156971125887,30.19096039819552,4,2.5183589458465576
drone_speed_mph,75,12.20.1,6,20.0,1,6.258084185544436,6.013640190681587,3.906051558518364,3,930.8781650066376
drone_speed_mph,75,12.20.2,6,20.0,2,6.3139768928592845,4.958950625897338,21.460741620616275,4,4.625216960906982
drone_speed_mph,75,12.20.3,6,20.0,3,6.761346984786725,4.7200313942251775,30.19096039819552,4,3.9759228229522705
drone_speed_mph,75,16.10.1,8,10.0,1,3.743495371296359,3.4559391797553447,7.681489170412259,4,1109.8373680114746
drone_speed_mph,75,16.10.2,8,10.0,2,3.9258531455995223,3.3580310911646665,14.463660085485518,4,1091.8134269714355
drone_speed_mph,75,16.10.3,8,10.0,3,4.316121616491997,3.4682135721829996,19.645137918939113,5,1063.4035148620605
drone_speed_mph,75,16.20.1,8,20.0,1,7.486990742592718,6.332634826746885,15.41815604604425,5,998.9134938716888
drone_speed_mph,75,16.20.2,8,20.0,2,7.8517062911990445,7.717730764899564,1.7063237127152076,5,1034.9318869113922
drone_speed_mph,75,16.20.3,8,20.0,3,8.632243232983994,6.0218088153943565,30.24051045752637,5,62.22915601730347
