parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
endurance_min,5,12.10.1,6,10.0,1,3.129042092772218,3.129042092772218,0.0,0,0.27338075637817383
endurance_min,5,12.10.2,6,10.0,2,3.59495440817398,3.1569884464296423,12.182795997315521,0,0.3059508800506592
endurance_min,5,12.10.3,6,10.0,3,3.3806734923933623,3.3806734923933623,0.0,0,0.10450315475463867
endurance_min,5,12.20.1,6,20.0,1,6.258084185544436,6.258084185544436,0.0,0,0.2578408718109131
endurance_min,5,12.20.2,6,20.0,2,6.3139768928592845,6.3139768928592845,0.0,0,0.23143982887268066
endurance_min,5,12.20.3,6,20.0,3,6.761346984786725,6.761346984786725,0.0,0,0.08827590942382812
endurance_min,5,16.10.1,8,10.0,1,3.743495371296359,3.743495371296359,0.0,0,4.282411098480225
endurance_min,5,16.10.2,8,10.0,2,3.9258531455995223,3.9258531455995223,0.0,0,10.362162828445435
endurance_min,5,16.10.3,8,10.0,3,4.316121616491997,4.316121616491997,0.0,0,4.148299932479858
endurance_min,5,16.20.1,8,20.0,1,7.486990742592718,7.486990742592718,0.0,0,5.777785301208496
endurance_min,5,16.20.2,8,20.0,2,7.8517062911990445,7.8517062911990445,0.0,0,9.85228681564331
endurance_min,5,16.20.3,8,20.0,3,8.632243232983994,8.632243232983994,0.0,0,5.718494892120361
endurance_min,7.5,12.10.1,6,10.0,1,3.129042092772218,3.129042092772218,0.0,0,0.3308219909667969
endurance_min,7.5,12.10.2,6,10.0,2,3.59495440817398,3.03535634993705,15.56620737566382,2,0.5021510124206543
endurance_min,7.5,12.10.3,6,10.0,3,3.3806734923933623,3.3806734923933623,0.0,0,0.2020871639251709
endurance_min,7.5,12.20.1,6,20.0,1,6.258084185544436,6.258084185544436,0.0,0,0.2867460250854492
endurance_min,7.5,12.20.2,6,20.0,2,6.3139768928592845,6.3139768928592845,0.0,0,0.2466108798980713
endurance_min,7.5,12.20.3,6,20.0,3,6.761346984786725,6.761346984786725,0.0,0,0.10116791725158691
endurance_min,7.5,16.10.1,8,10.0,1,3.743495371296359,3.7413139187262683,0.05827314725208588,1,8.900337219238281
endurance_min,7.5,16.10.2,8,10.0,2,3.9258531455995223,3.8270279389474884,2.517292496353485,1,7.817348957061768
endurance_min,7.5,16.10.3,8,10.0,3,4.316121616491997,4.316121616491997,0.0,0,4.57430624961853
endurance_min,7.5,16.20.1,8,20.0,1,7.486990742592718,7.486990742592718,0.0,0,6.176027774810791
endurance_min,7.5,16.20.2,8,20.0,2,7.8517062911990445,7.8517062911990445,0.0,0,11.32558298110962
endurance_min,7.5,16.20.3,8,20.0,3,8.632243232983994,8.632243232983994,0.0,0,6.321538925170898
endurance_min,10,12.10.1,6,10.0,1,3.129042092772218,2.9993210535553487,4.145710903554544,1,1.157599925994873
endurance_min,10,12.10.2,6,10.0,2,3.59495440817398,2.8413894353695275,20.961739350325114,4,0.9263341426849365
endurance_min,10,12.10.3,6,10.0,3,3.3806734923933623,3.3603568760900404,0.6009635757204923,1,0.286060094833374
endurance_min,10,12.20.1,6,20.0,1,6.258084185544436,6.258084185544436,0.0,0,0.3117799758911133
endurance_min,10,12.20.2,6,20.0,2,6.3139768928592845,6.3139768928592845,0.0,0,0.2632942199707031
endurance_min,10,12.20.3,6,20.0,3,6.761346984786725,6.761346984786725,0.0,0,0.10166192054748535
endurance_min,10,16.10.1,8,10.0,1,3.743495371296359,3.727020207610334,0.44010108339788134,2,110.92029976844788
endurance_min,10,16.10.2,8,10.0,2,3.9258531455995223,3.585554953109779,8.668133520765608,4,15.608335971832275
endurance_min,10,16.10.3,8,10.0,3,4.316121616491997,4.126510628032308,4.393087250720217,3,14.635810852050781
endurance_min,10,16.20.1,8,20.0,1,7.486990742592718,7.486990742592718,0.0,0,6.4230921268463135
endurance_min,10,16.20.2,8,20.0,2,7.8517062911990445,7.8517062911990445,0.0,0,12.551397800445557
endurance_min,10,16.20.3,8,20.0,3,8.632243232983994,8.632243232983994,0.0,0,6.098453044891357
endurance_min,15,12.10.1,6,10.0,1,3.129042092772218,2.7304253945996826,12.73925649940284,2,2.089684009552002
endurance_min,15,12.10.2,6,10.0,2,3.59495440817398,2.479475312948669,31.029019246781132,4,2.182936191558838
endurance_min,15,12.10.3,6,10.0,3,3.3806734923933623,3.0218461142775443,10.61407967741317,3,1.2831768989562988
endurance_min,15,12.20.1,6,20.0,1,6.258084185544436,5.9986421071106975,4.145710903554544,1,0.8181939125061035
endurance_min,15,12.20.2,6,20.0,2,6.3139768928592845,5.834490747467933,7.594043398125527,4,0.7954869270324707
endurance_min,15,12.20.3,6,20.0,3,6.761346984786725,6.720713752180081,0.6009635757204923,1,0.19468307495117188
endurance_min,15,16.10.1,8,10.0,1,3.743495371296359,3.2518247795075443,13.13399758842364,5,300.3231370449066
endurance_min,15,16.10.2,8,10.0,2,3.9258531455995223,3.450529131392495,12.10753424997103,4,80.92838096618652
endurance_min,15,16.10.3,8,10.0,3,4.316121616491997,3.3237150493727903,22.99301677059328,4,43.205780029296875
endurance_min,15,16.20.1,8,20.0,1,7.486990742592718,7.454040415220668,0.44010108339788134,2,68.49509811401367
endurance_min,15,16.20.2,8,20.0,2,7.8517062911990445,7.34881773432134,6.404831487919904,4,16.38363003730774
endurance_min,15,16.20.3,8,20.0,3,8.632243232983994,8.414931904809881,2.5174374992558257,2,10.806932926177979
endurance_min,30,12.10.1,6,10.0,1,3.129042092772218,2.7233379517094956,12.965761694285272,3,4.802994966506958
endurance_min,30,12.10.2,6,10.0,2,3.59495440817398,2.479475312948669,31.029019246781132,4,4.03476881980896
endurance_min,30,12.10.3,6,10.0,3,3.3806734923933623,2.3600156971125887,30.19096039819552,4,3.046095132827759
endurance_min,30,12.20.1,6,20.0,1,6.258084185544436,5.460850789199365,12.73925649940284,2,2.680972099304199
endurance_min,30,12.20.2,6,20.0,2,6.3139768928592845,4.958950625897338,21.460741620616275,4,3.7222890853881836
endurance_min,30,12.20.3,6,20.0,3,6.761346984786725,4.937927017140479,26.968294509200696,4,1.7640211582183838
endurance_min,30,16.10.1,8,10.0,1,3.743495371296359,3.0959661070195517,17.297450645773605,4,300.83281111717224
endurance_min,30,16.10.2,8,10.0,2,3.9258531455995223,3.3580310911646665,14.463660085485518,4,131.0205078125
endurance_min,30,16.10.3,8,10.0,3,4.316121616491997,3.0109044076971783,30.24051045752637,5,95.19417905807495
endurance_min,30,16.20.1,8,20.0,1,7.486990742592718,6.094991684150587,18.592236938710116,5,283.36114501953125
endurance_min,30,16.20.2,8,20.0,2,7.8517062911990445,6.791627717082179,13.50125099948154,3,106.7212929725647
endurance_min,30,16.20.3,8,20.0,3,8.632243232983994,6.094306478132045,29.40066314575609,4,121.90183687210083
endurance_min,60,12.10.1,6,10.0,1,3.129042092772218,2.7233379517094956,12.965761694285272,3,4.35523796081543
endurance_min,60,12.10.2,6,10.0,2,3.59495440817398,2.479475312948669,31.029019246781132,4,6.368579149246216
endurance_min,60,12.10.3,6,10.0,3,3.3806734923933623,2.3600156971125887,30.19096039819552,4,3.1065032482147217
