parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
alpha,0.05,6.5.1,3,5.0,1,1.24964820592203,0.825223825804459,33.96350893845499,3,0.09015321731567383
alpha,0.05,6.5.2,3,5.0,2,1.2550739612018689,0.9281004332617482,26.052132228686208,2,0.05553603172302246
alpha,0.05,6.5.3,3,5.0,3,1.0416720883239565,0.8539879230096953,18.017586092399174,2,0.06817030906677246
alpha,0.05,6.10.1,3,10.0,1,2.49929641184406,1.650447651608918,33.96350893845499,3,0.12804198265075684
alpha,0.05,6.10.2,3,10.0,2,2.5101479224037377,1.8562008665234964,26.052132228686208,2,0.0505831241607666
alpha,0.05,6.10.3,3,10.0,3,2.083344176647913,1.7079758460193906,18.017586092399174,2,0.06534409523010254
alpha,0.05,6.20.1,3,20.0,1,4.99859282368812,3.724641760329047,25.48619398087143,2,0.11790990829467773
alpha,0.05,6.20.2,3,20.0,2,5.0202958448074755,3.7124017330469927,26.052132228686208,2,0.038992881774902344
alpha,0.05,6.20.3,3,20.0,3,4.166688353295826,3.415951692038781,18.017586092399174,2,0.06245899200439453
alpha,0.05,8.5.1,4,5.0,1,1.4104459642899232,1.0713298716264184,24.043182174244436,3,0.5609538555145264
alpha,0.05,8.5.2,4,5.0,2,1.1918180699031642,1.1623123762230516,2.4756877266099764,2,0.33797502517700195
alpha,0.05,8.5.3,4,5.0,3,1.3016597655321156,0.9646767327259796,25.88871852149306,4,0.4263129234313965
alpha,0.05,8.10.1,4,10.0,1,2.8208919285798464,2.1426597432528367,24.043182174244436,3,0.5869088172912598
alpha,0.05,8.10.2,4,10.0,2,2.3836361398063284,2.3246247524461032,2.4756877266099764,2,0.32758498191833496
alpha,0.05,8.10.3,4,10.0,3,2.603319531064231,1.9293534654519593,25.88871852149306,4,0.7040767669677734
alpha,0.05,8.20.1,4,20.0,1,5.641783857159693,4.285319486505673,24.043182174244436,3,0.5109796524047852
alpha,0.05,8.20.2,4,20.0,2,4.767272279612657,4.6492495048922065,2.4756877266099764,2,0.27848196029663086
alpha,0.05,8.20.3,4,20.0,3,5.206639062128462,3.990437491525099,23.358668732189457,3,0.32581400871276855
alpha,0.1,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.0927419662475586
alpha,0.1,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450863,23.0620824831396,2,0.05839896202087402
alpha,0.1,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207767,14.335468327988753,2,0.06740403175354004
alpha,0.1,6.10.1,3,10.0,1,2.49929641184406,1.8236542959827333,27.033292756292816,3,0.08188796043395996
alpha,0.1,6.10.2,3,10.0,2,2.5101479224037377,1.9312555380901726,23.0620824831396,2,0.05904388427734375
alpha,0.1,6.10.3,3,10.0,3,2.083344176647913,1.7846870320415533,14.335468327988753,2,0.06853675842285156
alpha,0.1,6.20.1,3,20.0,1,4.99859282368812,3.899617488826851,21.98569424685426,2,0.061063289642333984
alpha,0.1,6.20.2,3,20.0,2,5.0202958448074755,3.862511076180345,23.0620824831396,2,0.04792904853820801
alpha,0.1,6.20.3,3,20.0,3,4.166688353295826,3.5693740640831066,14.335468327988753,2,0.06260108947753906
alpha,0.1,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.682131290435791
alpha,0.1,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.21068215370178223
alpha,0.1,8.5.3,4,5.0,3,1.3016597655321156,1.0391321649805167,20.168680595599277,3,0.6091549396514893
alpha,0.1,8.10.1,4,10.0,1,2.8208919285798464,2.2485162427267014,20.29059249147849,3,0.49231505393981934
alpha,0.1,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.2304091453552246
alpha,0.1,8.10.3,4,10.0,3,2.603319531064231,2.0782643299610335,20.168680595599277,3,0.3143470287322998
alpha,0.1,8.20.1,4,20.0,1,5.641783857159693,4.497032485453403,20.29059249147849,3,0.47545289993286133
alpha,0.1,8.20.2,4,20.0,2,4.767272279612657,4.708286291663428,1.2373110762203376,1,0.28577685356140137
alpha,0.1,8.20.3,4,20.0,3,5.206639062128462,4.158671724612171,20.127520364123043,3,0.4118027687072754
alpha,0.25,6.5.1,3,5.0,1,1.24964820592203,1.1061361685800657,11.484195044802759,2,0.12748003005981445
alpha,0.25,6.5.2,3,5.0,2,1.2550739612018689,1.0775697684499534,14.142926890295449,2,0.08526420593261719
alpha,0.25,6.5.3,3,5.0,3,1.0416720883239565,1.0074102950540202,3.2891150347575615,2,0.08450198173522949
alpha,0.25,6.10.1,3,10.0,1,2.49929641184406,2.2122723371601314,11.484195044802759,2,0.13827800750732422
alpha,0.25,6.10.2,3,10.0,2,2.5101479224037377,2.155139536899907,14.142926890295449,2,0.07423806190490723
alpha,0.25,6.10.3,3,10.0,3,2.083344176647913,2.0148205901080405,3.2891150347575615,2,0.07331204414367676
alpha,0.25,6.20.1,3,20.0,1,4.99859282368812,4.424544674320263,11.484195044802759,2,0.09797883033752441
alpha,0.25,6.20.2,3,20.0,2,5.0202958448074755,4.310279073799814,14.142926890295449,2,0.06968498229980469
alpha,0.25,6.20.3,3,20.0,3,4.166688353295826,4.029641180216081,3.2891150347575615,2,0.06811904907226562
alpha,0.25,8.5.1,4,5.0,1,1.4104459642899232,1.241349806299846,11.988843406362404,2,0.6085529327392578
alpha,0.25,8.5.2,4,5.0,2,1.1918180699031642,1.1918180699031642,0.0,0,0.24405908584594727
alpha,0.25,8.5.3,4,5.0,3,1.3016597655321156,1.1576622909291698,11.062604715609382,2,0.5484199523925781
alpha,0.25,8.10.1,4,10.0,1,2.8208919285798464,2.482699612599692,11.988843406362404,2,0.5775942802429199
