parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
endurance_min,5,6.5.1,3,5.0,1,1.24964820592203,1.24964820592203,0.0,0,0.02051711082458496
endurance_min,5,6.5.2,3,5.0,2,1.2550739612018689,1.2550739612018689,0.0,0,0.030997037887573242
endurance_min,5,6.5.3,3,5.0,3,1.0416720883239565,1.0416720883239565,0.0,0,0.014668941497802734
endurance_min,5,6.10.1,3,10.0,1,2.49929641184406,2.49929641184406,0.0,0,0.01906299591064453
endurance_min,5,6.10.2,3,10.0,2,2.5101479224037377,2.5101479224037377,0.0,0,0.03835606575012207
endurance_min,5,6.10.3,3,10.0,3,2.083344176647913,2.083344176647913,0.0,0,0.01364588737487793
endurance_min,5,6.20.1,3,20.0,1,4.99859282368812,4.99859282368812,0.0,0,0.02177119255065918
endurance_min,5,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.027451753616333008
endurance_min,5,6.20.3,3,20.0,3,4.166688353295826,4.166688353295826,0.0,0,0.013971090316772461
endurance_min,5,8.5.1,4,5.0,1,1.4104459642899232,1.4104459642899232,0.0,0,0.08929586410522461
endurance_min,5,8.5.2,4,5.0,2,1.1918180699031642,1.1918180699031642,0.0,0,0.07831668853759766
endurance_min,5,8.5.3,4,5.0,3,1.3016597655321156,1.3016597655321156,0.0,0,0.040557861328125
endurance_min,5,8.10.1,4,10.0,1,2.8208919285798464,2.8208919285798464,0.0,0,0.09742403030395508
endurance_min,5,8.10.2,4,10.0,2,2.3836361398063284,2.3836361398063284,0.0,0,0.07770013809204102
endurance_min,5,8.10.3,4,10.0,3,2.603319531064231,2.603319531064231,0.0,0,0.04052090644836426
endurance_min,5,8.20.1,4,20.0,1,5.641783857159693,5.641783857159693,0.0,0,0.10485982894897461
endurance_min,5,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.07358312606811523
endurance_min,5,8.20.3,4,20.0,3,5.206639062128462,5.206639062128462,0.0,0,0.04043984413146973
endurance_min,7.5,6.5.1,3,5.0,1,1.24964820592203,1.239156452806718,0.8395765356675522,1,0.024003982543945312
endurance_min,7.5,6.5.2,3,5.0,2,1.2550739612018689,1.1406490005267036,9.116989453401692,1,0.03104686737060547
endurance_min,7.5,6.5.3,3,5.0,3,1.0416720883239565,0.9764860967335468,6.257822622020481,1,0.01909780502319336
endurance_min,7.5,6.10.1,3,10.0,1,2.49929641184406,2.49929641184406,0.0,0,0.018280029296875
endurance_min,7.5,6.10.2,3,10.0,2,2.5101479224037377,2.5101479224037377,0.0,0,0.0407259464263916
endurance_min,7.5,6.10.3,3,10.0,3,2.083344176647913,2.083344176647913,0.0,0,0.014776945114135742
endurance_min,7.5,6.20.1,3,20.0,1,4.99859282368812,4.99859282368812,0.0,0,0.019152164459228516
endurance_min,7.5,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.028275251388549805
endurance_min,7.5,6.20.3,3,20.0,3,4.166688353295826,4.166688353295826,0.0,0,0.013750076293945312
endurance_min,7.5,8.5.1,4,5.0,1,1.4104459642899232,1.4104459642899232,0.0,0,0.16247296333312988
endurance_min,7.5,8.5.2,4,5.0,2,1.1918180699031642,1.1810319340147333,0.9050153006412542,1,0.11943674087524414
endurance_min,7.5,8.5.3,4,5.0,3,1.3016597655321156,1.291278036664997,0.7975762285987731,1,0.05059504508972168
endurance_min,7.5,8.10.1,4,10.0,1,2.8208919285798464,2.8208919285798464,0.0,0,0.11358189582824707
endurance_min,7.5,8.10.2,4,10.0,2,2.3836361398063284,2.3836361398063284,0.0,0,0.11031413078308105
endurance_min,7.5,8.10.3,4,10.0,3,2.603319531064231,2.582556073329994,0.7975762285987731,1,0.04475879669189453
endurance_min,7.5,8.20.1,4,20.0,1,5.641783857159693,5.641783857159693,0.0,0,0.10295820236206055
endurance_min,7.5,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.07719922065734863
endurance_min,7.5,8.20.3,4,20.0,3,5.206639062128462,5.206639062128462,0.0,0,0.04157280921936035
endurance_min,10,6.5.1,3,5.0,1,1.24964820592203,0.9749043722067128,21.98569424685426,2,0.06016182899475098
endurance_min,10,6.5.2,3,5.0,2,1.2550739612018689,1.1049058879045304,11.964878400754674,2,0.047167062759399414
endurance_min,10,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207767,14.335468327988753,2,0.0638589859008789
endurance_min,10,6.10.1,3,10.0,1,2.49929641184406,2.478312905613436,0.8395765356675522,1,0.02141427993774414
endurance_min,10,6.10.2,3,10.0,2,2.5101479224037377,2.5101479224037377,0.0,0,0.04074406623840332
endurance_min,10,6.10.3,3,10.0,3,2.083344176647913,2.061557395718017,1.0457600416725499,1,0.016689300537109375
endurance_min,10,6.20.1,3,20.0,1,4.99859282368812,4.99859282368812,0.0,0,0.019260883331298828
endurance_min,10,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.028111696243286133
endurance_min,10,6.20.3,3,20.0,3,4.166688353295826,4.166688353295826,0.0,0,0.01384592056274414
endurance_min,10,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.3202648162841797
endurance_min,10,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.22164702415466309
endurance_min,10,8.5.3,4,5.0,3,1.3016597655321156,1.0396679311530428,20.127520364123043,3,0.1614217758178711
endurance_min,10,8.10.1,4,10.0,1,2.8208919285798464,2.8208919285798464,0.0,0,0.14194774627685547
endurance_min,10,8.10.2,4,10.0,2,2.3836361398063284,2.3620638680294666,0.9050153006412542,1,0.1146399974822998
endurance_min,10,8.10.3,4,10.0,3,2.603319531064231,2.582556073329994,0.7975762285987731,1,0.07693195343017578
endurance_min,10,8.20.1,4,20.0,1,5.641783857159693,5.641783857159693,0.0,0,0.09765124320983887
endurance_min,10,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.11275291442871094
