parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
alpha,0.05,6.5.1,3,5.0,1,1.24964820592203,0.825223825804459,33.96350893845499,3,0.22874975204467773
alpha,0.05,6.5.2,3,5.0,2,1.2550739612018689,0.9281004332617481,26.05213222868622,2,0.13552546501159668
alpha,0.05,6.5.3,3,5.0,3,1.0416720883239565,0.8539879230096953,18.017586092399174,2,0.10298776626586914
alpha,0.05,6.10.1,3,10.0,1,2.49929641184406,1.650447651608918,33.96350893845499,3,0.2356889247894287
alpha,0.05,6.10.2,3,10.0,2,2.5101479224037377,1.8562008665234961,26.05213222868622,2,0.10113191604614258
alpha,0.05,6.10.3,3,10.0,3,2.083344176647913,1.7079758460193906,18.017586092399174,2,0.10325026512145996
alpha,0.05,6.20.1,3,20.0,1,4.99859282368812,3.724641760329047,25.48619398087143,2,0.24416828155517578
alpha,0.05,6.20.2,3,20.0,2,5.0202958448074755,3.7124017330469923,26.05213222868622,2,0.10639381408691406
alpha,0.05,6.20.3,3,20.0,3,4.166688353295826,3.415951692038781,18.017586092399174,2,0.08920025825500488
alpha,0.05,8.5.1,4,5.0,1,1.4104459642899232,1.0713298716264181,24.04318217424445,3,0.9594154357910156
alpha,0.05,8.5.2,4,5.0,2,1.1918180699031642,1.1623123762230516,2.4756877266099764,2,0.8115406036376953
alpha,0.05,8.5.3,4,5.0,3,1.3016597655321154,0.9646767327259795,25.88871852149306,4,0.7471883296966553
alpha,0.05,8.10.1,4,10.0,1,2.8208919285798464,2.1426597432528363,24.04318217424445,3,0.9056713581085205
alpha,0.05,8.10.2,4,10.0,2,2.3836361398063284,2.3246247524461032,2.4756877266099764,2,0.4442126750946045
alpha,0.05,8.10.3,4,10.0,3,2.6033195310642308,1.929353465451959,25.88871852149306,4,1.6296210289001465
alpha,0.05,8.20.1,4,20.0,1,5.641783857159693,4.2853194865056725,24.04318217424445,3,0.7284965515136719
alpha,0.05,8.20.2,4,20.0,2,4.767272279612657,4.6492495048922065,2.4756877266099764,2,0.40830564498901367
alpha,0.05,8.20.3,4,20.0,3,5.2066390621284615,3.990437491525099,23.358668732189447,3,0.8857741355895996
alpha,0.1,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.23801350593566895
alpha,0.1,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450861,23.062082483139623,2,0.1528337001800537
alpha,0.1,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207764,14.335468327988776,2,0.08922433853149414
alpha,0.1,6.10.1,3,10.0,1,2.49929641184406,1.8236542959827333,27.033292756292816,3,0.2725541591644287
alpha,0.1,6.10.2,3,10.0,2,2.5101479224037377,1.9312555380901721,23.062082483139623,2,0.22220253944396973
alpha,0.1,6.10.3,3,10.0,3,2.083344176647913,1.7846870320415529,14.335468327988776,2,0.11695981025695801
alpha,0.1,6.20.1,3,20.0,1,4.99859282368812,3.899617488826851,21.98569424685426,2,0.41378092765808105
alpha,0.1,6.20.2,3,20.0,2,5.0202958448074755,3.8625110761803443,23.062082483139623,2,0.16271591186523438
alpha,0.1,6.20.3,3,20.0,3,4.166688353295826,3.569374064083106,14.335468327988766,2,0.1007392406463623
alpha,0.1,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.9025506973266602
alpha,0.1,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.4388248920440674
alpha,0.1,8.5.3,4,5.0,3,1.3016597655321154,1.0391321649805167,20.168680595599263,3,0.8638572692871094
alpha,0.1,8.10.1,4,10.0,1,2.8208919285798464,2.2485162427267014,20.29059249147849,3,0.7191901206970215
alpha,0.1,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.3655092716217041
alpha,0.1,8.10.3,4,10.0,3,2.6033195310642308,2.0782643299610335,20.168680595599263,3,1.3179759979248047
alpha,0.1,8.20.1,4,20.0,1,5.641783857159693,4.497032485453403,20.29059249147849,3,0.7114431858062744
alpha,0.1,8.20.2,4,20.0,2,4.767272279612657,4.708286291663428,1.2373110762203376,1,0.6163744926452637
alpha,0.1,8.20.3,4,20.0,3,5.2066390621284615,4.158671724612171,20.12752036412303,3,1.2341952323913574
alpha,0.25,6.5.1,3,5.0,1,1.24964820592203,1.1061361685800657,11.484195044802759,2,0.43057894706726074
alpha,0.25,6.5.2,3,5.0,2,1.2550739612018689,1.0775697684499534,14.142926890295449,2,0.14619159698486328
alpha,0.25,6.5.3,3,5.0,3,1.0416720883239565,1.0074102950540202,3.2891150347575615,2,0.1290132999420166
alpha,0.25,6.10.1,3,10.0,1,2.49929641184406,2.2122723371601314,11.484195044802759,2,0.42953038215637207
alpha,0.25,6.10.2,3,10.0,2,2.5101479224037377,2.155139536899907,14.142926890295449,2,0.24656152725219727
alpha,0.25,6.10.3,3,10.0,3,2.083344176647913,2.0148205901080405,3.2891150347575615,2,0.1320188045501709
alpha,0.25,6.20.1,3,20.0,1,4.99859282368812,4.424544674320263,11.484195044802759,2,0.2506103515625
alpha,0.25,6.20.2,3,20.0,2,5.0202958448074755,4.310279073799814,14.142926890295449,2,0.1455214023590088
alpha,0.25,6.20.3,3,20.0,3,4.166688353295826,4.029641180216081,3.2891150347575615,2,0.1224052906036377
alpha,0.25,8.5.1,4,5.0,1,1.4104459642899232,1.241349806299846,11.988843406362404,2,0.736506462097168
alpha,0.25,8.5.2,4,5.0,2,1.1918180699031642,1.1918180699031642,0.0,0,0.4331543445587158
alpha,0.25,8.5.3,4,5.0,3,1.3016597655321154,1.1576622909291698,11.062604715609359,2,0.8047099113464355
alpha,0.25,8.10.1,4,10.0,1,2.8208919285798464,2.482699612599692,11.988843406362404,2,0.7023768424987793
alpha,0.25,8.10.2,4,10.0,2,2.3836361398063284,2.3836361398063284,0.0,0,0.39470410346984863
alpha,0.25,8.10.3,4,10.0,3,2.6033195310642308,2.3153245818583397,11.062604715609359,2,0.6190497875213623
alpha,0.25,8.20.1,4,20.0,1,5.641783857159693,4.965399225199384,11.988843406362404,2,0.7613532543182373
alpha,0.25,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.7439970970153809
alpha,0.25,8.20.3,4,20.0,3,5.2066390621284615,4.630649163716679,11.062604715609359,2,0.8782505989074707
alpha,0.5,6.5.1,3,5.0,1,1.24964820592203,1.2426566551502936,0.5594815195671621,1,0.15322279930114746
alpha,0.5,6.5.2,3,5.0,2,1.2550739612018689,1.2550739612018689,0.0,0,0.18135881423950195
alpha,0.5,6.5.3,3,5.0,3,1.0416720883239565,1.0416720883239565,0.0,0,0.09497761726379395
alpha,0.5,6.10.1,3,10.0,1,2.49929641184406,2.485313310300587,0.5594815195671621,1,0.12407040596008301
alpha,0.5,6.10.2,3,10.0,2,2.5101479224037377,2.5101479224037377,0.0,0,0.1985776424407959
alpha,0.5,6.10.3,3,10.0,3,2.083344176647913,2.083344176647913,0.0,0,0.09213924407958984
alpha,0.5,6.20.1,3,20.0,1,4.99859282368812,4.970626620601174,0.5594815195671621,1,0.1716914176940918
