parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
drone_speed_mph,25,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.1492936611175537
drone_speed_mph,25,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450861,23.062082483139623,2,0.17169857025146484
drone_speed_mph,25,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207764,14.335468327988776,2,0.08946824073791504
drone_speed_mph,25,6.10.1,3,10.0,1,2.49929641184406,1.9498087444134256,21.98569424685426,2,0.339465856552124
drone_speed_mph,25,6.10.2,3,10.0,2,2.5101479224037377,1.9312555380901721,23.062082483139623,2,0.20106291770935059
drone_speed_mph,25,6.10.3,3,10.0,3,2.083344176647913,1.784687032041553,14.335468327988766,2,0.11408257484436035
drone_speed_mph,25,6.20.1,3,20.0,1,4.99859282368812,4.956625811226872,0.8395765356675522,1,0.041112422943115234
drone_speed_mph,25,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.06924724578857422
drone_speed_mph,25,6.20.3,3,20.0,3,4.166688353295826,4.123114791436034,1.0457600416725499,1,0.02504706382751465
drone_speed_mph,25,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.8278820514678955
drone_speed_mph,25,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.5062174797058105
drone_speed_mph,25,8.5.3,4,5.0,3,1.3016597655321154,1.0391321649805167,20.168680595599263,3,0.6730782985687256
drone_speed_mph,25,8.10.1,4,10.0,1,2.8208919285798464,2.2485162427267014,20.29059249147849,3,0.8771877288818359
drone_speed_mph,25,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.6916322708129883
drone_speed_mph,25,8.10.3,4,10.0,3,2.6033195310642308,2.0793358623060856,20.12752036412303,3,1.1368508338928223
drone_speed_mph,25,8.20.1,4,20.0,1,5.641783857159693,5.622120801900849,0.34852549754968987,1,0.42493748664855957
drone_speed_mph,25,8.20.2,4,20.0,2,4.767272279612657,4.724127736058933,0.9050153006412542,1,0.18216729164123535
drone_speed_mph,25,8.20.3,4,20.0,3,5.2066390621284615,5.165112146659988,0.7975762285987509,1,0.11781001091003418
drone_speed_mph,35,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.34108400344848633
drone_speed_mph,35,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450861,23.062082483139623,2,0.2106931209564209
drone_speed_mph,35,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207764,14.335468327988776,2,0.13857483863830566
drone_speed_mph,35,6.10.1,3,10.0,1,2.49929641184406,1.8236542959827333,27.033292756292816,3,0.4268198013305664
drone_speed_mph,35,6.10.2,3,10.0,2,2.5101479224037377,1.9312555380901721,23.062082483139623,2,0.15292048454284668
drone_speed_mph,35,6.10.3,3,10.0,3,2.083344176647913,1.7846870320415529,14.335468327988776,2,0.12662816047668457
drone_speed_mph,35,6.20.1,3,20.0,1,4.99859282368812,4.956625811226871,0.8395765356675744,1,0.0901343822479248
