parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
endurance_min,5,6.5.1,3,5.0,1,1.24964820592203,1.24964820592203,0.0,0,0.053446054458618164
endurance_min,5,6.5.2,3,5.0,2,1.2550739612018689,1.2550739612018689,0.0,0,0.07576727867126465
endurance_min,5,6.5.3,3,5.0,3,1.0416720883239565,1.0416720883239565,0.0,0,0.020587682723999023
endurance_min,5,6.10.1,3,10.0,1,2.49929641184406,2.49929641184406,0.0,0,0.02929973602294922
endurance_min,5,6.10.2,3,10.0,2,2.5101479224037377,2.5101479224037377,0.0,0,0.07274341583251953
endurance_min,5,6.10.3,3,10.0,3,2.083344176647913,2.083344176647913,0.0,0,0.02145552635192871
endurance_min,5,6.20.1,3,20.0,1,4.99859282368812,4.99859282368812,0.0,0,0.052771806716918945
endurance_min,5,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.06847238540649414
endurance_min,5,6.20.3,3,20.0,3,4.166688353295826,4.166688353295826,0.0,0,0.018642663955688477
endurance_min,5,8.5.1,4,5.0,1,1.4104459642899232,1.4104459642899232,0.0,0,0.2786874771118164
endurance_min,5,8.5.2,4,5.0,2,1.1918180699031642,1.1918180699031642,0.0,0,0.20833182334899902
endurance_min,5,8.5.3,4,5.0,3,1.3016597655321154,1.3016597655321154,0.0,0,0.10127496719360352
endurance_min,5,8.10.1,4,10.0,1,2.8208919285798464,2.8208919285798464,0.0,0,0.20497989654541016
endurance_min,5,8.10.2,4,10.0,2,2.3836361398063284,2.3836361398063284,0.0,0,0.20044589042663574
endurance_min,5,8.10.3,4,10.0,3,2.6033195310642308,2.6033195310642308,0.0,0,0.07724595069885254
endurance_min,5,8.20.1,4,20.0,1,5.641783857159693,5.641783857159693,0.0,0,0.19562983512878418
endurance_min,5,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.21372079849243164
endurance_min,5,8.20.3,4,20.0,3,5.2066390621284615,5.2066390621284615,0.0,0,0.10723280906677246
endurance_min,7.5,6.5.1,3,5.0,1,1.24964820592203,1.239156452806718,0.8395765356675522,1,0.0639197826385498
endurance_min,7.5,6.5.2,3,5.0,2,1.2550739612018689,1.1406490005267036,9.116989453401692,1,0.14231085777282715
endurance_min,7.5,6.5.3,3,5.0,3,1.0416720883239565,0.9764860967335466,6.2578226220205035,1,0.028801679611206055
endurance_min,7.5,6.10.1,3,10.0,1,2.49929641184406,2.49929641184406,0.0,0,0.028303861618041992
endurance_min,7.5,6.10.2,3,10.0,2,2.5101479224037377,2.5101479224037377,0.0,0,0.06305289268493652
endurance_min,7.5,6.10.3,3,10.0,3,2.083344176647913,2.083344176647913,0.0,0,0.020660877227783203
endurance_min,7.5,6.20.1,3,20.0,1,4.99859282368812,4.99859282368812,0.0,0,0.054282426834106445
endurance_min,7.5,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.06988167762756348
endurance_min,7.5,6.20.3,3,20.0,3,4.166688353295826,4.166688353295826,0.0,0,0.01929450035095215
endurance_min,7.5,8.5.1,4,5.0,1,1.4104459642899232,1.4104459642899232,0.0,0,0.35993432998657227
endurance_min,7.5,8.5.2,4,5.0,2,1.1918180699031642,1.1810319340147333,0.9050153006412542,1,0.23866868019104004
endurance_min,7.5,8.5.3,4,5.0,3,1.3016597655321154,1.291278036664997,0.7975762285987509,1,0.14663910865783691
endurance_min,7.5,8.10.1,4,10.0,1,2.8208919285798464,2.8208919285798464,0.0,0,0.23295950889587402
endurance_min,7.5,8.10.2,4,10.0,2,2.3836361398063284,2.3836361398063284,0.0,0,0.18232369422912598
endurance_min,7.5,8.10.3,4,10.0,3,2.6033195310642308,2.582556073329994,0.7975762285987509,1,0.10689520835876465
endurance_min,7.5,8.20.1,4,20.0,1,5.641783857159693,5.641783857159693,0.0,0,0.19601678848266602
endurance_min,7.5,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.2060222625732422
endurance_min,7.5,8.20.3,4,20.0,3,5.2066390621284615,5.2066390621284615,0.0,0,0.10194683074951172
endurance_min,10,6.5.1,3,5.0,1,1.24964820592203,0.9749043722067128,21.98569424685426,2,0.12212610244750977
endurance_min,10,6.5.2,3,5.0,2,1.2550739612018689,1.1049058879045304,11.964878400754674,2,0.11838364601135254
endurance_min,10,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207767,14.335468327988753,2,0.10547161102294922
endurance_min,10,6.10.1,3,10.0,1,2.49929641184406,2.478312905613436,0.8395765356675522,1,0.06459665298461914
endurance_min,10,6.10.2,3,10.0,2,2.5101479224037377,2.5101479224037377,0.0,0,0.06401228904724121
endurance_min,10,6.10.3,3,10.0,3,2.083344176647913,2.061557395718017,1.0457600416725499,1,0.023810148239135742
endurance_min,10,6.20.1,3,20.0,1,4.99859282368812,4.99859282368812,0.0,0,0.05572009086608887
endurance_min,10,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.07030081748962402
endurance_min,10,6.20.3,3,20.0,3,4.166688353295826,4.166688353295826,0.0,0,0.0199737548828125
endurance_min,10,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.7361612319946289
endurance_min,10,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.6600711345672607
endurance_min,10,8.5.3,4,5.0,3,1.3016597655321154,1.0396679311530428,20.12752036412303,3,0.5058000087738037
endurance_min,10,8.10.1,4,10.0,1,2.8208919285798464,2.8208919285798464,0.0,0,0.2869281768798828
endurance_min,10,8.10.2,4,10.0,2,2.3836361398063284,2.3620638680294666,0.9050153006412542,1,0.25939345359802246
endurance_min,10,8.10.3,4,10.0,3,2.6033195310642308,2.5825560733299935,0.7975762285987731,1,0.11219072341918945
endurance_min,10,8.20.1,4,20.0,1,5.641783857159693,5.641783857159693,0.0,0,0.25173401832580566
endurance_min,10,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.21016716957092285
endurance_min,10,8.20.3,4,20.0,3,5.2066390621284615,5.165112146659988,0.7975762285987509,1,0.0842580795288086
endurance_min,15,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.274721622467041
endurance_min,15,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450861,23.062082483139623,2,0.12428164482116699
endurance_min,15,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207764,14.335468327988776,2,0.09637236595153809
endurance_min,15,6.10.1,3,10.0,1,2.49929641184406,2.1864030290635723,12.519258672068634,2,0.132951021194458
endurance_min,15,6.10.2,3,10.0,2,2.5101479224037377,2.2098117758090607,11.964878400754674,2,0.13157939910888672
endurance_min,15,6.10.3,3,10.0,3,2.083344176647913,1.784687032041553,14.335468327988766,2,0.07755589485168457
endurance_min,15,6.20.1,3,20.0,1,4.99859282368812,4.987127890473222,0.22936321519460012,1,0.05122971534729004
endurance_min,15,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.07194280624389648
endurance_min,15,6.20.3,3,20.0,3,4.166688353295826,4.123114791436034,1.0457600416725499,1,0.02466130256652832
endurance_min,15,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.8533339500427246
endurance_min,15,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.3955066204071045
endurance_min,15,8.5.3,4,5.0,3,1.3016597655321154,1.0391321649805167,20.168680595599263,3,0.6752235889434814
endurance_min,15,8.10.1,4,10.0,1,2.8208919285798464,2.265467415272897,19.689677143589577,2,0.47557735443115234
endurance_min,15,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.34797096252441406
endurance_min,15,8.10.3,4,10.0,3,2.6033195310642308,2.0793358623060856,20.12752036412303,3,0.44138479232788086
